Period,Fund name,ABN,RSE Regulatory classification,Fund type,RSE Membership base,Fund's RSE licensee,RSE licensee ownership type,RSE licensee profit status,RSE licensee board structure,RSE Balance date,Duration,RSE Wind up date,Total assets,Proportion of benefits which are defined benefits,Number of investment options,Number of MySuper products authorised,Proportion of total assets in default or MySuper strategy,Net members' benefits outflow ratio,Investment expenses ratio,Operating expense ratio,"One-year
rate of return","Five-year
rate of return","Ten-year
rate of return",Total number of member accounts,Total members' benefits,Average member account balance,Growth in number of member accounts
30/06/2021,Alcoa of Australia Retirement Plan,80928800255,Non public offer,Corporate,Corporate base,Alcoa of Australia Retirement Plan Pty Ltd,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"2,359,742",24%,8,,0%,229.6%,0.2%,0.2%,14.6%,7.6%,7.4%,"5,336","2,244,954",421,-2%
30/06/2021,AMG Super,30099320583,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"1,577,947",0%,740,1,12%,57.1%,0.0%,1.0%,19.0%,6.8%,5.7%,"15,501","1,537,787",99,-36%
30/06/2021,AON Master Trust,68964712340,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"5,719,414",*,57,1,47%,96.3%,0.2%,1.1%,19.2%,9.5%,8.5%,"196,813","5,494,049",28,2%
30/06/2021,Aracon Superannuation Fund,40586548205,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"546,041",0%,605,,0%,20.8%,0.2%,0.2%,15.3%,5.9%,5.9%,"2,043","539,378",264,51%
30/06/2021,ASGARD Independence Plan Division Two,90194410365,Public offer,Retail,General base,BT Funds Management Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"23,199,472",0%,"1,978",1,13%,208.2%,0.1%,0.9%,18.2%,7.1%,6.4%,"160,197","22,880,378",143,-14%
30/06/2021,Australia Post Superannuation Scheme,42045077895,Non public offer,Public Sector,Government base,PostSuper Pty Ltd,Other ownership type,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"8,524,264",47%,5,1,13%,242.7%,0.2%,0.2%,13.1%,6.2%,6.5%,"28,649","7,274,207",254,-5%
30/06/2021,Australian Catholic Superannuation and Retirement Fund,24680629023,Public offer,Industry,Industry base,SCS Super Pty. Limited,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"11,034,821",0%,42,1,51%,80.4%,0.3%,0.4%,15.3%,7.1%,6.7%,"88,666","10,723,716",121,3%
30/06/2021,Australian Ethical Retail Superannuation Fund,49633667743,Public offer,Retail,General base,Australian Ethical Superannuation Pty Ltd,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"4,030,475",0%,14,1,50%,21.0%,0.9%,0.4%,20.2%,9.3%,8.7%,"61,999","3,900,577",63,21%
30/06/2021,Australian Meat Industry Superannuation Trust,28342064803,Public offer,Industry,Industry base,Australian Meat Industry Superannuation Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"2,580,836",0%,8,1,81%,122.3%,0.3%,0.4%,15.8%,7.8%,7.5%,"60,923","2,501,464",41,-3%
30/06/2021,AustralianSuper,65714394898,Public offer,Industry,Government base,AustralianSuper Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"244,939,807",0%,12,1,66%,41.1%,0.3%,0.2%,19.0%,9.8%,9.1%,"2,468,216","231,808,318",94,4%
30/06/2021,Avanteos Superannuation Trust,38876896681,Public offer,Retail,General base,Avanteos Investments Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"11,535,338",0%,"1,672",,0%,80.0%,0.0%,0.3%,15.2%,6.7%,6.3%,"32,558","11,451,702",352,4%
30/06/2021,AvSuper Fund,84421446069,Public offer,Public Sector,Corporate base,AvSuper Pty Ltd,Financial services corporation ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"2,777,474",26%,19,1,30%,150.6%,0.4%,0.3%,14.8%,6.8%,7.2%,"6,746","2,427,263",360,8%
30/06/2021,AvWrap Retirement Service,82004832237,Public offer,Retail,General base,I.O.O.F. Investment Management Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"365,080",0%,"1,507",,0%,287.3%,0.0%,0.4%,13.9%,6.2%,6.2%,"1,031","362,281",351,-4%
30/06/2021,Aware Super,53226460365,Public offer,Public Sector,Government base,Aware Super Pty Ltd,Other ownership type,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"153,637,189",1%,76,2,53%,54.7%,0.3%,0.3%,14.5%,8.4%,8.0%,"1,123,049","146,704,909",131,4%
30/06/2021,Boc Gases Superannuation Fund,49620344668,Non public offer,Corporate,Corporate base,BOC Superannuation Pty Ltd,Financial services corporation ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"784,637",5%,5,1,60%,217.3%,0.0%,0.3%,13.3%,6.9%,7.4%,"2,929","764,488",261,-5%
30/06/2021,Building Unions Superannuation Scheme (Queensland),85571332201,Public offer,Industry,Industry base,BUSS (Queensland) Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"5,822,530",0%,29,1,72%,112.9%,0.0%,0.4%,16.6%,8.3%,8.7%,"68,679","5,735,245",84,-6%
30/06/2021,Care Super,98172275725,Public offer,Industry,Industry base,CARE Super Pty Ltd,Financial services corporation ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"21,117,725",0%,25,1,67%,77.9%,0.3%,0.4%,16.8%,8.5%,8.6%,"220,577","19,077,694",86,-4%
30/06/2021,Challenger Retirement Fund,87883998803,Public offer,Retail,General base,Challenger Retirement and Investment Services Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"501,045",0%,9,,0%,231.1%,0.0%,0.0%,1.7%,2.5%,3.9%,"3,167","488,902",154,-10%
30/06/2021,Christian Super,66628776348,Public offer,Industry,Industry base,Christian Super Pty Limited,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"2,135,896",0%,15,1,56%,68.1%,0.5%,0.6%,16.7%,7.2%,7.1%,"30,051","1,973,639",66,5%
30/06/2021,ClearView Retirement Plan,45828721007,Public offer,Retail,General base,ClearView Life Nominees Pty Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"2,315,302",0%,563,,0%,89.8%,0.0%,0.1%,11.5%,5.1%,5.7%,"13,580","2,302,601",170,-70%
30/06/2021,Club Plus Superannuation Scheme,95275115088,Public offer,Industry,Industry base,Club Plus Superannuation Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"3,211,460",0%,12,1,77%,133.1%,0.4%,0.5%,14.6%,7.9%,7.2%,"60,407","3,096,793",51,-8%
30/06/2021,Colonial First State FirstChoice Superannuation Trust,26458298557,Public offer,Retail,General base,Colonial First State Investments Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"89,912,142",0%,775,1,13%,110.0%,0.0%,0.1%,17.1%,7.0%,6.7%,"672,825","89,157,737",133,-5%
30/06/2021,Colonial First State Rollover & Superannuation Fund,88854638840,Public offer,Retail,General base,Colonial First State Investments Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"3,034,351",0%,44,,0%,327.3%,0.0%,0.1%,26.7%,10.4%,8.7%,"24,086","2,958,472",123,-7%
30/06/2021,Commonwealth Bank Group Super,24248426878,Non public offer,Corporate,Corporate base,Commonwealth Bank Officers Superannuation Corporation Pty Limited,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"14,189,263",24%,10,1,48%,107.0%,0.6%,0.2%,12.4%,6.9%,7.3%,"71,275","13,207,548",185,-1%
30/06/2021,Commonwealth Essential Super,56601925435,Public offer,Retail,General base,Colonial First State Investments Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"3,968,186",0%,15,1,91%,107.9%,0.0%,0.4%,21.3%,6.9%,,"150,069","3,920,374",26,-26%
30/06/2021,CONSTRUCTION AND BUILDING UNIONS SUPERANNUATION FUND,75493363262,Public offer,Industry,Industry base,United Super Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"66,695,369",0%,16,1,82%,76.5%,0.3%,0.4%,17.9%,9.4%,9.2%,"778,510","63,196,524",81,0%
30/06/2021,CUBS Superannuation Fund,90120177925,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"88,252",0%,37,,0%,110.7%,0.1%,0.8%,10.1%,4.5%,3.6%,"1,098","86,200",79,-8%
30/06/2021,Definitive Superannuation Plan,47412936330,Public offer,Retail,General base,Macquarie Investment Management Ltd,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"86,307",0%,307,,0%,970.9%,0.0%,0.4%,14.6%,7.2%,6.6%,166,"85,870",517,-15%
30/06/2021,Deseret Benefit Plan for Australia,58632310300,Non public offer,Corporate,Corporate base,Towers Watson Superannuation Pty Ltd,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"37,506",97%,4,,0%,92.7%,0.2%,1.8%,16.5%,7.2%,6.6%,108,"34,876",323,-4%
30/06/2021,DIY Master Plan,46074281314,Public offer,Retail,General base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"927,559",0%,"1,341",,0%,32.5%,0.3%,0.6%,14.8%,5.3%,5.2%,"7,056","912,381",129,-8%
30/06/2021,DPM Retirement Service,40725722496,Public offer,Retail,General base,Nulis Nominees (Australia) Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"52,691",0%,"1,092",,0%,1583.3%,0.0%,0.6%,19.0%,6.6%,5.9%,305,"51,824",170,-10%
30/06/2021,Encircle Superannuation Fund,68486630403,Public offer,Retail,General base,Avanteos Investments Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"2,906,548",0%,291,,0%,67.9%,0.0%,0.2%,14.9%,6.4%,6.4%,"7,249","2,895,169",399,7%
30/06/2021,Energy Industries Superannuation Scheme-Pool A,22277243559,Public offer,Public Sector,Industry base,Energy Industries Superannuation Scheme Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"4,369,430",0%,10,1,27%,116.5%,0.2%,0.5%,15.7%,6.2%,6.5%,"18,592","4,293,291",231,-5%
30/06/2021,Energy Industries Superannuation Scheme-Pool B,64322090181,Non public offer,Public Sector,Industry base,Energy Industries Superannuation Scheme Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"2,078,497",77%,6,,0%,509.8%,0.2%,0.5%,16.3%,7.5%,7.5%,"2,421","1,849,194",764,-4%
30/06/2021,Energy Super,33761363685,Public offer,Industry,Industry base,Electricity Supply Industry Superannuation (QLD) Ltd,Public company ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"9,156,344",10%,35,1,28%,96.9%,0.5%,0.3%,17.2%,7.8%,7.9%,"47,848","8,381,633",175,-2%
30/06/2021,equipsuper,33813823017,Public offer,Industry,General base,Togethr Trustees Pty Ltd,Other ownership type,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"33,898,889",5%,47,2,44%,7.2%,0.2%,0.1%,11.2%,7.8%,7.7%,"148,613","29,584,840",199,109%
30/06/2021,Fiducian Superannuation Fund,57929339093,Public offer,Retail,General base,Fiducian Portfolio Services Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"2,010,531",0%,71,,0%,47.0%,0.1%,0.9%,22.1%,8.3%,7.6%,"7,122","1,978,213",278,8%
30/06/2021,Fire and Emergency Services Superannuation Fund,43198502058,Non public offer,Public Sector,Government base,Fire and Emergency Services Superannuation Board,Public sector organisation ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"871,111",*,7,,0%,87.4%,0.2%,0.4%,13.3%,7.2%,7.0%,"2,451","750,925",306,3%
30/06/2021,First Super,56286625181,Public offer,Industry,Industry base,First Super Pty Limited,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"3,610,411",0%,10,1,84%,104.4%,0.1%,0.5%,14.0%,7.9%,8.0%,"46,003","3,500,986",76,0%
30/06/2021,Goldman Sachs & JBWere Superannuation Fund,55697537183,Non public offer,Corporate,Corporate base,BEST Superannuation Pty Ltd,Financial services corporation ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"669,143",3%,1,1,79%,152.3%,0.0%,0.4%,22.1%,10.7%,10.8%,"1,767","589,412",334,-1%
30/06/2021,Grosvenor Pirie Master Superannuation Fund Series 2,32367272075,Public offer,Retail,General base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"211,532",0%,5,,0%,42.8%,0.6%,1.8%,13.7%,6.0%,5.9%,"28,783","197,845",7,27%
30/06/2021,Guild Retirement Fund,22599554834,Public offer,Retail,Industry base,Guild Trustee Services Pty. Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"2,478,072",0%,8,1,73%,76.1%,0.3%,0.7%,21.7%,8.9%,7.5%,"82,656","2,401,499",29,3%
30/06/2021,Health Employees Superannuation Trust Australia,64971749321,Public offer,Industry,Industry base,H.E.S.T. Australia Ltd.,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"67,002,788",0%,30,1,76%,68.5%,0.5%,0.2%,17.9%,8.9%,8.5%,"925,054","63,890,588",69,4%
30/06/2021,Heidelberg Australia Superannuation Fund,75071229817,Non public offer,Retail,Corporate base,Towers Watson Superannuation Pty Ltd,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,*,*,5,*,*,*,*,*,*,*,*,*,*,*,*
30/06/2021,Holden Employees Superannuation Fund,77289319006,Non public offer,Corporate,Corporate base,Holden Employees Superannuation Fund Pty Ltd,Financial services corporation ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"356,705",21%,5,,0%,1020.1%,0.0%,0.8%,13.0%,5.5%,6.2%,"1,813","357,856",197,-9%
30/06/2021,HOSTPLUS Superannuation Fund,68657495890,Public offer,Industry,Industry base,Host-Plus Pty. Limited,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"64,523,103",0%,22,1,71%,56.5%,0.0%,0.2%,20.5%,9.7%,9.1%,"1,303,176","61,181,835",47,0%
30/06/2021,Incitec Pivot Employees Superannuation Fund,68569795856,Non public offer,Retail,Corporate base,Towers Watson Superannuation Pty Ltd,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"213,409",30%,15,1,28%,163.9%,0.0%,0.6%,14.2%,7.1%,7.1%,774,"211,196",273,-5%
30/06/2021,Intrust Super Fund,65704511371,Public offer,Industry,Industry base,IS INDUSTRY FUND PTY LTD,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"3,069,574",0%,10,1,67%,127.6%,0.3%,0.5%,16.4%,8.2%,7.8%,"91,888","2,969,144",32,-5%
30/06/2021,IOOF Portfolio Service Superannuation Fund,70815369818,Public offer,Retail,General base,I.O.O.F. Investment Management Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"33,496,332",*,"1,855",1,10%,109.1%,0.0%,0.5%,15.5%,6.9%,6.4%,"231,911","33,028,246",142,-9%
30/06/2021,Jamestrong Packaging Australia Superannuation Fund,65546653068,Non public offer,Retail,Corporate base,Towers Watson Superannuation Pty Ltd,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,*,*,5,*,*,*,*,*,*,*,*,*,*,*,*
30/06/2021,Labour Union Co-Operative Retirement Fund,26382680883,Public offer,Industry,Industry base,L.U.C.R.F. Pty. Ltd.,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"7,748,684",0%,33,1,77%,130.4%,0.4%,0.4%,17.8%,7.9%,7.4%,"133,058","7,367,664",55,3%
