Period,Fund name,ABN,RSE Regulatory classification,Fund type,RSE Membership base,Fund's RSE licensee,RSE licensee ownership type,RSE licensee profit status,RSE licensee board structure,RSE Balance date,Duration,RSE Wind up date,Total assets,Proportion of benefits which are defined benefits,Number of investment options,Number of MySuper products authorised,Proportion of total assets in default or MySuper strategy,Net members' benefits outflow ratio,Investment expenses ratio,Operating expense ratio,"One-year
30/06/2021,legalsuper,60346078879,Public offer,Industry,Industry base,Legal Super Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"5,088,982",0%,13,1,49%,75.7%,0.1%,0.4%,16.7%,8.3%,7.9%,"41,690","4,928,343",118,-3%
30/06/2021,LGIAsuper,23053121564,Public offer,Public Sector,Government base,LGIAsuper Trustee,Public sector organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"14,768,094",*,39,1,59%,104.0%,0.3%,0.3%,13.1%,7.9%,7.8%,"75,561","13,885,878",184,-3%
30/06/2021,Lifefocus Superannuation Fund,94579217553,Public offer,Retail,General base,CCSL Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"414,136",0%,582,,0%,447.6%,0.6%,0.1%,13.4%,6.3%,5.3%,"3,624","405,786",112,1%
30/06/2021,Linfox Staff Superannuation Fund,11260931967,Non public offer,Retail,Corporate base,Towers Watson Superannuation Pty Ltd,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*
30/06/2021,Local Authorities Superannuation Fund,24496637884,Public offer,Public Sector,Government base,Vision Super Pty Ltd,Other ownership type,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"15,224,275",19%,28,1,35%,102.3%,0.3%,0.2%,17.3%,9.1%,8.0%,"84,802","11,576,623",137,-3%
30/06/2021,Local Government Super,28901371321,Public offer,Public Sector,Government base,LGSS Pty Limited,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"14,312,387",14%,8,1,34%,109.1%,0.3%,0.3%,15.1%,7.6%,7.1%,"83,829","13,346,690",159,-3%
30/06/2021,Macquarie Superannuation Plan,65508799106,Public offer,Retail,General base,Macquarie Investment Management Ltd,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"31,042,440",0%,"2,444",,0%,43.2%,0.0%,0.3%,16.4%,6.8%,6.4%,"96,822","30,809,562",318,7%
30/06/2021,Macquarie University Professorial Superannuation Scheme,98415348576,Non public offer,Retail,Corporate base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*
30/06/2021,Manildra Flour Mills Retirement Fund,32448411930,Non public offer,Corporate,Corporate base,Manildra Flour Mills Retirement Fund Pty Limited,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,*,*,0,*,*,*,*,*,*,*,*,*,*,*,*
30/06/2021,Maritime Super,77455663441,Public offer,Industry,Industry base,Maritime Super Pty Limited,Financial services corporation ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"6,258,589",1%,9,1,14%,178.7%,0.2%,0.4%,18.9%,7.7%,7.2%,"23,858","5,975,273",250,-3%
30/06/2021,Meat Industry Employees Superannuation Fund,17317520544,Non public offer,Industry,Industry base,Meat Industry Employees Superannuation Fund Pty. Ltd.,Nominating organisation ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"972,383",0%,2,1,91%,171.1%,0.4%,0.3%,15.0%,9.1%,8.4%,"16,788","940,656",56,-13%
30/06/2021,Media Super,42574421650,Public offer,Industry,General base,Media Super Limited,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"6,956,246",0%,25,1,70%,120.2%,0.2%,0.4%,16.0%,8.5%,7.8%,"72,401","6,762,939",93,-5%
30/06/2021,Mercer Portfolio Service Superannuation Plan,92181844838,Public offer,Retail,General base,Mercer Superannuation (Australia) Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"2,069,048",0%,318,,0%,305.9%,0.0%,0.3%,15.3%,6.8%,6.4%,"5,742","2,056,344",358,-6%
30/06/2021,Mercer Super Trust,19905422981,Public offer,Retail,Corporate base,Mercer Superannuation (Australia) Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"29,798,373",7%,145,5,44%,84.1%,0.1%,0.1%,17.7%,8.2%,7.6%,"287,159","28,461,449",99,18%
30/06/2021,Mercy Super,11789425178,Non public offer,Corporate,Corporate base,Mercy Super Pty Ltd,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"1,689,888",0%,14,1,74%,93.1%,0.2%,0.5%,15.3%,8.4%,8.1%,"13,246","1,624,626",123,-1%
30/06/2021,Military Superannuation & Benefits Fund No 1,50925523120,Non public offer,Public Sector,Government base,Commonwealth Superannuation Corporation,Public sector organisation ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"68,673,437",100%,4,,0%,97.0%,0.0%,0.0%,14.1%,7.2%,7.3%,"181,086","68,604,000",379,0%
30/06/2021,Mine Superannuation Fund,16457520308,Public offer,Industry,Industry base,AUSCOAL Superannuation Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"13,166,212",1%,37,1,50%,140.2%,0.4%,0.4%,18.7%,7.6%,7.4%,"58,795","12,179,215",207,-4%
30/06/2021,MLC Superannuation Fund,40022701955,Public offer,Retail,General base,Nulis Nominees (Australia) Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"24,249,845",0%,"1,712",,0%,81.3%,0.0%,0.1%,16.9%,6.8%,6.6%,"91,136","24,395,279",268,14%
30/06/2021,National Mutual Pro-Super Fund,46208334003,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,*,*,0,*,*,*,*,*,*,*,*,*,*,*,*
30/06/2021,National Mutual Retirement Fund,76746741299,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"6,481,029",0%,78,,0%,341.8%,0.0%,0.1%,10.5%,6.3%,6.3%,"222,053","6,462,686",29,-10%
30/06/2021,NESS Super,72229227691,Public offer,Industry,Industry base,NESS Super Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"987,071",0%,14,1,78%,91.8%,0.1%,0.5%,19.7%,8.2%,7.9%,"12,266","970,403",79,-5%
30/06/2021,Netwealth Superannuation Master Fund,94573747704,Public offer,Retail,General base,Netwealth Investments Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"17,018,668",0%,503,,0%,26.5%,0.0%,1.1%,15.3%,5.9%,5.3%,"69,480","16,819,295",242,17%
30/06/2021,NGS Super,73549180515,Public offer,Industry,Industry base,NGS Super Pty Limited,Financial services corporation ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"13,999,315",*,28,1,63%,81.8%,0.4%,0.3%,17.1%,8.6%,7.7%,"111,324","13,353,892",120,-3%
30/06/2021,Oasis Superannuation Master Trust,81154851339,Public offer,Retail,General base,Oasis Fund Management Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"3,992,210",0%,"1,085",,0%,489.0%,0.0%,0.5%,16.4%,6.5%,6.3%,"22,213","3,934,164",177,-8%
30/06/2021,OneSuper,43905581638,Public offer,Retail,General base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"1,297,501",0%,724,1,16%,13.2%,0.1%,1.1%,18.3%,6.8%,5.6%,"56,297","1,264,103",22,907%
30/06/2021,Perpetual WealthFocus Superannuation Fund,41772007500,Public offer,Retail,General base,Perpetual Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"1,745,685",0%,94,,0%,324.1%,0.0%,0.3%,24.3%,8.2%,8.1%,"11,888","1,728,337",145,-8%
30/06/2021,Perpetual's Select Superannuation Fund,51068260563,Public offer,Retail,Corporate base,Perpetual Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"1,273,213",0%,22,,0%,819.8%,0.2%,0.2%,17.5%,7.6%,7.5%,"5,275","1,253,284",238,-55%
30/06/2021,Personal Choice Private Fund,50159477169,Public offer,Retail,General base,CCSL Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"252,475",0%,828,,0%,231.3%,0.5%,0.1%,16.6%,6.5%,6.0%,981,"249,243",254,-5%
30/06/2021,Premiumchoice Retirement Service,70479285132,Public offer,Retail,General base,Nulis Nominees (Australia) Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"535,619",0%,"1,171",,0%,78.2%,0.0%,0.4%,15.8%,6.7%,6.4%,"2,073","535,554",258,5%
30/06/2021,Prime Super,60562335823,Public offer,Industry,Industry base,Prime Super Pty Ltd,Other ownership type,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"6,284,623",1%,22,1,82%,88.2%,0.3%,0.4%,17.4%,8.3%,8.0%,"125,887","6,056,662",48,-3%
30/06/2021,Public Sector Superannuation Accumulation Plan,65127917725,Non public offer,Public Sector,Government base,Commonwealth Superannuation Corporation,Public sector organisation ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"19,363,336",0%,13,1,79%,39.5%,0.0%,0.1%,17.9%,8.5%,8.3%,"144,086","18,911,587",131,3%
30/06/2021,Public Sector Superannuation Scheme,74172177893,Non public offer,Public Sector,Government base,Commonwealth Superannuation Corporation,Public sector organisation ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"94,243,615",100%,2,,0%,139.2%,0.0%,0.0%,15.0%,7.8%,8.0%,"218,293","94,124,707",431,-1%
30/06/2021,Qantas Superannuation Plan,41272198829,Non public offer,Corporate,Corporate base,Qantas Superannuation Limited,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"8,818,826",24%,7,1,13%,521.4%,0.5%,0.2%,17.0%,7.9%,7.1%,"27,609","8,160,575",296,-9%
30/06/2021,QSuper,60905115063,Public offer,Public Sector,Government base,QSuper Board,Public sector organisation ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"136,132,255",17%,20,1,39%,59.9%,0.1%,0.2%,13.6%,7.2%,7.9%,"618,859","123,181,779",199,4%
30/06/2021,Rei Super,76641658449,Public offer,Industry,Industry base,Rei Superannuation Fund Pty Limited,Nominating organisation ownership,Not for profit status,Non equal representation,30/06/2021,12,,"1,979,990",0%,10,1,75%,103.1%,0.1%,0.5%,18.6%,7.2%,7.6%,"24,618","1,908,195",78,-6%
30/06/2021,Retail Employees Superannuation Trust,62653671394,Public offer,Industry,Industry base,Retail Employees Superannuation Pty. Limited,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"67,049,092",*,32,1,82%,82.1%,0.4%,0.4%,16.8%,7.7%,7.9%,"1,846,992","64,539,009",35,0%
30/06/2021,Retirement Portfolio Service,61808189263,Public offer,Retail,General base,OnePath Custodians Pty Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"38,236,760",0%,"1,106",2,31%,199.9%,0.8%,0.1%,16.7%,6.8%,6.5%,"761,840","37,622,133",49,-10%
30/06/2021,Retirement Wrap,39827542991,Public offer,Retail,General base,BT Funds Management Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"86,037,921",3%,"2,672",2,25%,82.2%,0.1%,0.8%,17.8%,7.0%,6.6%,"844,823","85,167,691",101,-8%
30/06/2021,Russell Investments Master Trust,89384753567,Public offer,Retail,Corporate base,Total Risk Management Pty Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"10,352,104",8%,45,1,36%,109.4%,0.0%,0.3%,18.1%,7.6%,7.2%,"75,188","10,167,640",135,-1%
30/06/2021,Spirit Super,74559365913,Public offer,Industry,General base,Motor Trades Association of Australia Superannuation Fund Pty. Limited,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"26,630,350",0%,21,1,76%,9.8%,0.3%,0.3%,14.5%,7.7%,7.5%,"330,756","25,335,067",77,64%
30/06/2021,Statewide Superannuation Trust,54145196298,Public offer,Industry,General base,Statewide Superannuation Pty Ltd,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"11,947,904",5%,21,1,59%,84.4%,0.3%,0.4%,16.7%,8.2%,8.0%,"158,683","11,207,085",71,4%
30/06/2021,Suncorp Master Trust,98350952022,Public offer,Retail,General base,Suncorp Portfolio Services Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"6,960,013",0%,57,1,31%,168.9%,0.2%,0.8%,16.0%,6.9%,6.8%,"139,369","6,845,450",49,-10%
30/06/2021,Sunsuper Superannuation Fund,98503137921,Public offer,Industry,General base,Sunsuper Pty. Ltd.,Nominating organisation ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"98,938,197",1%,38,1,55%,42.7%,0.5%,0.3%,19.4%,9.1%,8.3%,"1,455,593","89,302,727",61,-4%
30/06/2021,Super Directions Fund,78421957449,Public offer,Retail,General base,N. M. Superannuation Proprietary Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"64,943,327",2%,153,6,35%,271.4%,0.5%,0.4%,17.6%,9.0%,7.8%,"854,727","62,711,726",73,-5%
30/06/2021,Superannuation Retirement Fund,40328908469,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"3,042,999",0%,363,,0%,496.5%,0.0%,0.3%,14.1%,6.9%,6.5%,"46,265","3,033,412",66,-16%
30/06/2021,Symetry Personal Retirement Fund,24685968122,Public offer,Retail,General base,Avanteos Investments Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"1,430,976",0%,700,,0%,371.8%,0.0%,0.5%,16.2%,5.8%,5.5%,"5,930","1,424,579",240,-13%
30/06/2021,Telstra Superannuation Scheme,85502108833,Public offer,Corporate,Corporate base,Telstra Super Pty Ltd,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by governing rules,30/06/2021,12,,"25,121,342",6%,15,1,33%,140.2%,0.4%,0.3%,16.8%,7.8%,7.6%,"91,288","23,809,511",261,-2%
30/06/2021,The Bendigo Superannuation Plan,57526653420,Public offer,Retail,General base,Sandhurst Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"1,636,818",0%,13,1,23%,141.3%,0.0%,0.2%,14.9%,6.5%,6.4%,"20,470","1,618,444",79,-10%
30/06/2021,The Towers Watson Superannuation Fund,93268215348,Non public offer,Retail,Corporate base,Wycomp Pty. Limited,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"39,285",*,5,,0%,364.5%,0.0%,0.3%,15.0%,7.0%,6.8%,207,"31,106",150,-4%
30/06/2021,The University of Wollongong Professorial Superannuation Scheme,68672265781,Public offer,Retail,Corporate base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*
30/06/2021,Tidswell Master Superannuation Plan,34300938877,Public offer,Retail,General base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"976,302",0%,97,,0%,39.0%,0.0%,1.2%,17.3%,8.1%,5.1%,"53,260","924,927",17,49%
30/06/2021,TWU Superannuation Fund,77343563307,Public offer,Industry,Industry base,T W U Nominees Pty Ltd,Financial services corporation ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"6,484,002",0%,3,1,87%,133.9%,0.3%,0.5%,17.9%,8.0%,7.9%,"104,148","6,183,471",59,-5%
30/06/2021,Unisuper,91385943850,Public offer,Industry,Industry base,Unisuper Limited,Public company ownership,Not for profit status,Equal representation required by legislation,30/06/2021,12,,"102,593,950",24%,16,1,25%,51.0%,0.4%,0.1%,15.2%,8.4%,9.3%,"497,959","91,071,902",183,0%
30/06/2021,Wealth Personal Superannuation and Pension Fund,92381911598,Public offer,Retail,General base,N. M. Superannuation Proprietary Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"53,912,892",0%,"1,489",,0%,92.2%,0.0%,0.3%,15.8%,6.6%,6.6%,"295,354","53,426,136",181,-4%
30/06/2021,Zurich Master Superannuation Fund,33632838393,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2021,12,,"996,618",0%,16,,0%,335.3%,1.2%,0.1%,17.1%,6.7%,6.5%,"11,163","993,795",89,-11%
